,Address,Longitude,Latitude,Rent,URL,Type
51,"14500 E Bannister Rd, Kansas City, MO 64139",-94.411943,38.944485,"$1,066 - 1,499",https://www.apartments.com/clay-terrace-kansas-city-mo/1mwjnl7/,apartment
52,"8803 Newton Ave, Kansas City, MO 64138",-94.510822797504,38.96607516944973,$893 - 943,https://www.apartments.com/fountain-view-on-the-plaza-kansas-city-mo/zv2h7hz/,apartment
53,"1003-1005 Broadway Blvd, Kansas City, MO 64105",-94.5880419,39.1066434,"$975 - 1,400",https://www.apartments.com/knollwood-apartments-kansas-city-mo/52bm90n/,apartment
54,"409 NW 66th Ter, Kansas City, MO 64118",-94.58738991086534,39.21465708122362,$875 - 950,https://www.apartments.com/timberlane-village-apartments-kansas-city-mo/qze9ggy/,apartment
55,"4111 Broadway, Kansas City, MO 64111",-94.5905976,39.0538445,"$1,137 - 2,461",https://www.apartments.com/westley-on-broadway-kansas-city-mo/wdtflph/,apartment
56,"8811 N Congress Ave, Kansas City, MO 64153",-94.66778717315319,39.25570197297659,"$1,037 - 1,282",https://www.apartments.com/copper-ridge-apartments-liberty-mo/m853z9l/,apartment
57,"8660 N Wyandotte St, Kansas City, MO 64155",-94.58284466535594,39.25109742468051,"$1,198",https://www.apartments.com/summit-crossing-kansas-city-mo/43l9s2j/,apartment
58,"7831 NW Roanridge Rd, Kansas City, MO 64151",-94.65519049649876,39.23678983565943,"$879 - 1,607",https://www.apartments.com/the-crossing-at-barry-road-apartments-kansas-city-mo/nbb0ktm/,apartment
59,"9422 Cleveland Ave, Kansas City, MO 64132",-94.54398851271834,38.95620312140717,$835 - 943,https://www.apartments.com/the-hamilton-kansas-city-mo/tg2gjlc/,apartment
60,"4800 Oak St, Kansas City, MO 64112",-94.58251501754387,39.03991070175439,"$1,103 - 1,369",https://www.apartments.com/city-club-apartments-crossroads-kansas-city-kansas-city-mo/xlphvfn/,apartment
61,"10500 E 42nd St, Kansas City, MO 64133",-94.455705,39.046517,$908,https://www.apartments.com/eastwood-crossings-kansas-city-mo/6ycwppv/,apartment
62,"6360 N London Ave, Kansas City, MO 64151",-94.63275758984983,39.20929424339502,"$852 - 1,716",https://www.apartments.com/whispering-lake-kansas-city-mo/hnw16p1/,apartment
63,"10415 E 43rd St, Kansas City, MO 64133",-94.45696715384615,39.04446446153846,"$944 - 1,474",https://www.apartments.com/crooked-creek-apartments-kansas-city-mo/prst6ys/,apartment
64,"7000 Crabapple Ln, Kansas City, MO 64129",-94.5030397906166,39.029332731032696,$729 - 809,https://www.apartments.com/the-kings-kansas-city-mo/khspjn9/,apartment
65,"1601 NE Vivion Rd, Kansas City, MO 64118",-94.56086709547738,39.180968849246234,"$740 - 1,220",https://www.apartments.com/tanglewood-apartments-kansas-city-mo/m2hbnwh/,apartment
66,"11330 Colorado Ave, Kansas City, MO 64137",-94.53012824137932,38.918713068965516,$744 - 844,https://www.apartments.com/crown-heights-apartments-kansas-city-mo/b8pvn68/,apartment
67,"9327 NE 79th St, Kansas City, MO 64158",-94.46803276353272,39.235162404454734,$639,https://www.apartments.com/applewood-at-the-cove-apartments-kansas-city-mo/nrt3ysq/,apartment
68,"107-123 Brentwood Dr, Liberty, MO 64068",-94.461062,39.232192,$820 - 925,https://www.apartments.com/carrington-place-at-shoal-creek-kansas-city-mo/1g72705/,apartment
69,"3895 State Line Rd, Kansas City, MO 64111",-94.6070387,39.0574505,"$1,327 - 1,402",https://www.apartments.com/view-high-lake-kansas-city-mo/2pebfx8/,apartment
70,"1050 Jefferson St, Kansas City, MO 64105",-94.59230046218829,39.101831576373115,"$1,489 - 1,669",https://www.apartments.com/three-fountains-kansas-city-mo/ez7f8cm/,apartment
71,"333 W 46th Ter, Kansas City, MO 64112",-94.59021011152588,39.04315517688606,"$1,510 - 1,730",https://www.apartments.com/timber-lakes-at-red-bridge-kansas-city-mo/533wzpn/,apartment
72,"127 W 10th St, Kansas City, MO 64105",-94.5851356,39.1019869,"$1,195 - 1,590",https://www.apartments.com/brick-house-kansas-city-mo/3b3f60f/,apartment
73,"6700 E 87th St, Kansas City, MO 64138",-94.510579,38.967107,$865 - 950,https://www.apartments.com/kc-loft-central-kansas-city-mo/9wz0ej5/,apartment
74,"8619 E 61st Ter, Kansas City, MO 64129",-94.581361,39.016012,"$786 - 1,187",https://www.apartments.com/bluestar-crossings-kansas-city-mo/3j26c5e/,apartment
75,"934 Wyandotte St, Kansas City, MO 64105",-94.58572495749878,39.102538800000005,"$743 - 1,000",https://www.apartments.com/old-town-lofts-kansas-city-mo/6l2s7sr/,apartment
76,"2900 Williamsburg Ter, Platte City, MO 64079",-94.75664754803384,39.34714065,"$970 - 1,005",https://www.apartments.com/signature-at-west-pryor-lees-summit-mo/32ts4jf/,apartment
77,"401 Delaware St, Kansas City, MO 64105",-94.58407820825948,39.10891555,"$1,100 - 1,375",https://www.apartments.com/williamsburg-plaza-apartments-platte-city-mo/jtdflq5/,apartment
78,"12 E Armour Blvd, Kansas City, MO 64111",-94.58472362026268,39.064174449999996,"$1,100 - 1,500",https://www.apartments.com/wilshire-apartments-liberty-mo/8xcpwj1/,apartment
79,"909 Walnut St, Kansas City, MO 64106",-94.58157337289262,39.10322085,"$1,367 - 2,952",https://www.apartments.com/interstate-flats-kansas-city-mo/48851wh/,apartment
